"filename", "language", "JavaScript JSX", "JavaScript", "XML", "PostCSS", "comment", "blank", "total"
"c:\TaskFlow\src\data\security.jsx", "JavaScript JSX", -27, 0, 0, 0, 0, -1, -28
"c:\TaskFlow\src\data\taskOptions.jsx", "JavaScript JSX", -23, 0, 0, 0, 0, -3, -26
"c:\TaskFlow\src\data\team.jsx", "JavaScript JSX", -39, 0, 0, 0, 0, -3, -42
"c:\TaskFlow\src\data\terms.jsx", "JavaScript JSX", -53, 0, 0, 0, 0, -2, -55
"c:\TaskFlow\src\data\work.jsx", "JavaScript JSX", -22, 0, 0, 0, 0, -1, -23
"c:\TaskFlow\src\hooks\useAuthTokenRefresh.jsx", "JavaScript JSX", -18, 0, 0, 0, 0, -5, -23
"c:\TaskFlow\src\hooks\useLockScroll.jsx", "JavaScript JSX", -21, 0, 0, 0, 0, -3, -24
"c:\TaskFlow\src\hooks\useMediaQuery.jsx", "JavaScript JSX", -33, 0, 0, 0, 0, -8, -41
"c:\TaskFlow\src\hooks\useResponsive.jsx", "JavaScript JSX", -17, 0, 0, 0, 0, -5, -22
"c:\TaskFlow\src\hooks\useSocket.jsx", "JavaScript JSX", -24, 0, 0, 0, 0, -6, -30
"c:\TaskFlow\src\index.css", "PostCSS", 0, 0, 0, -191, -6, -38, -235
"c:\TaskFlow\src\main.jsx", "JavaScript JSX", -12, 0, 0, 0, 0, -2, -14
"c:\TaskFlow\src\pages\DashboardPage.jsx", "JavaScript JSX", -240, 0, 0, 0, 0, -25, -265
"c:\TaskFlow\src\pages\HomePage.jsx", "JavaScript JSX", -59, 0, 0, 0, 0, -4, -63
"c:\TaskFlow\src\pages\LoginPage.jsx", "JavaScript JSX", -161, 0, 0, 0, 0, -8, -169
"c:\TaskFlow\src\pages\PrivacyPage.jsx", "JavaScript JSX", -24, 0, 0, 0, 0, -5, -29
"c:\TaskFlow\src\pages\RegisterPage.jsx", "JavaScript JSX", -43, 0, 0, 0, 0, -5, -48
"c:\TaskFlow\src\pages\ResetPasswordPage.jsx", "JavaScript JSX", -197, 0, 0, 0, 0, -13, -210
"c:\TaskFlow\src\pages\SettingsPage.jsx", "JavaScript JSX", -67, 0, 0, 0, 0, -6, -73
"c:\TaskFlow\src\pages\TermsPage.jsx", "JavaScript JSX", -24, 0, 0, 0, 0, -6, -30
"c:\TaskFlow\src\pages\errors\Error400.jsx", "JavaScript JSX", -13, 0, 0, 0, 0, -3, -16
"c:\TaskFlow\src\pages\errors\Error401.jsx", "JavaScript JSX", -13, 0, 0, 0, 0, -3, -16
"c:\TaskFlow\src\pages\errors\Error403.jsx", "JavaScript JSX", -13, 0, 0, 0, 0, -3, -16
"c:\TaskFlow\src\pages\errors\Error404.jsx", "JavaScript JSX", -13, 0, 0, 0, 0, -2, -15
"c:\TaskFlow\src\pages\errors\Error500.jsx", "JavaScript JSX", -13, 0, 0, 0, 0, -3, -16
"c:\TaskFlow\src\store\authStore.js", "JavaScript", 0, -6, 0, 0, 0, -4, -10
"c:\TaskFlow\src\store\boardStore.js", "JavaScript", 0, -150, 0, 0, 0, -24, -174
"c:\TaskFlow\src\store\modalsStore.js", "JavaScript", 0, -29, 0, 0, 0, -10, -39
"c:\TaskFlow\src\store\registerStore.js", "JavaScript", 0, -8, 0, 0, 0, -2, -10
"c:\TaskFlow\src\store\taskStore.js", "JavaScript", 0, -229, 0, 0, 0, -18, -247
"c:\TaskFlow\src\store\userStore.js", "JavaScript", 0, -7, 0, 0, 0, -5, -12
"c:\TaskFlow\src\utils\color\normalizeColor.js", "JavaScript", 0, -3, 0, 0, 0, -1, -4
